City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
28,Khatanga,RU,71.9667,102.5,-19.86,93,100,11.34,overcast clouds,2021-03-15 03:25:21
29,Bredasdorp,ZA,-34.5322,20.0403,66.2,94,100,3.44,light rain,2021-03-15 03:34:37
30,Mecca,SA,21.4267,39.8261,75.15,54,34,2.42,scattered clouds,2021-03-15 03:30:12
31,Mar Del Plata,AR,-38.0023,-57.5575,69.01,94,0,5.75,light rain,2021-03-15 03:34:32
32,Alpena,US,45.0617,-83.4327,25.0,68,1,8.05,clear sky,2021-03-15 03:34:38
33,Ancud,CL,-41.8697,-73.8203,51.01,93,0,5.75,clear sky,2021-03-15 03:27:21
34,Hambantota,LK,6.1241,81.1185,84.2,65,0,6.91,clear sky,2021-03-15 03:34:39
35,Sheopur,IN,25.6667,76.7,84.83,20,49,1.5,scattered clouds,2021-03-15 03:34:39
36,Puro,PH,12.4841,123.3827,84.02,72,25,3.56,scattered clouds,2021-03-15 03:34:39
37,Wawa,NG,9.9022,4.4192,79.43,59,87,3.78,overcast clouds,2021-03-15 03:34:40
38,Aquiraz,BR,-3.9014,-38.3911,82.0,78,40,6.91,scattered clouds,2021-03-15 03:34:40
39,Albany,US,42.6001,-73.9662,24.01,31,35,7.0,scattered clouds,2021-03-15 03:33:39
40,Puerto Ayora,EC,-0.7393,-90.3518,77.0,92,75,3.51,broken clouds,2021-03-15 03:34:41
41,Port Alfred,ZA,-33.5906,26.891,69.01,96,98,13.56,overcast clouds,2021-03-15 03:34:41
42,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,90,4.61,light rain,2021-03-15 03:25:32
43,Neka,IR,36.6508,53.299,35.6,93,0,4.61,clear sky,2021-03-15 03:34:42
44,Thompson,CA,55.7435,-97.8558,26.6,39,75,9.22,broken clouds,2021-03-15 03:34:18
45,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,100,3.44,light rain,2021-03-15 03:34:43
46,Cabo San Lucas,MX,22.8909,-109.9124,66.2,63,20,1.92,few clouds,2021-03-15 03:34:43
